"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"507","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Fasilitas baik, petugasnya ramah toiletnya bersih dan harum","5","5","5","9a0ae976-90dd-4433-8e08-e6a6ff350a48"
"508","API dan IAS","KNO","3","TOILET,P5 WANITA","KNO-TW-P05","5","Petugas ramah dan toilet sangat bersih","5","5","5","a319ee83-5f82-4c89-aa8b-61b9098d79ac"
"509","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Toilet nya bersih dan harum","5","5","5","312a0029-5e5f-4d93-a8ee-1ba2edc94769"
"510","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","5","Fasilitas toilet lengkap, bersih dan tidak berbau aromanya harum","5","5","5","332d00fb-74dc-4667-bbea-058ebabe4fb4"
"511","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Fasilitas toiletnya baik bersih dan berfungsi petugas toiletnya ramah","5","5","5","679d3eb6-afe7-4781-b870-b4dcd167daa0"
"512","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Fasilitas di toilet nya lengkap. 
Petugas nya ramah ramah, sopan dan sigap","5","5","5","8352729c-2dc7-42ff-8f2c-7f69529d44e0"
"513","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Sangat baik, bersih, wangi, dan fasilitas lengkap, petugas ny rama😊😘","5","5","5","da939319-2ec8-4821-9585-61cbeaab0522"
"514","API dan IAS","KNO","3","TOILET,P6 WANITA","KNO-TW-P06","5","Pelayanan Toilet nya bagus,Toilet nya bersih dan harum","5","5","5","837300a2-bb69-4495-a37b-09e397cf3c56"
"515","API dan IAS","KNO","3","TOILET,P6 PRIA","KNO-TP-P06","5","Pelayanan sangat baik dan toilet nya bersih dan harum","5","5","5","f499ddee-72cb-4847-abd8-ad9e04086c27"
"516","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Toilet sangat bersih dan petugasnyaa ramah","5","5","5","9e497b8f-11c1-4af1-ba80-3dd1b7e4ae51"
