MEMBER,PARAMETERS,Unit,Target,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,MEI 2026,JUNI 2026
HIN,Rating (Merusaka Nusa Dua) - Kebersihan Fasilitas,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.61,4.65,4.6,4.59,4.69,4.8,4.74,4.74,4.71,4.56
HIN,Rating (Merusaka Nusa Dua) - Departure,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.71,4.73,4.75,4.55,4.71,4.85,4.7,4.72,4.8,4.62
HIN,Rating (The Meru Sanur) - Hotel Rating,Scale 1-5,4.5,4.8,4.7,4.8,4.8,4.6,4.7,4.5,4.6,4.5,4.8,4.8,4.6,4.9,4.9,4.8,"4,9",4.81,4.6
HIN,Rating (The Meru Sanur) - Arrival Experience Rating,Scale 1-5,NULL,5,4.7,4.7,4.4,4.5,4.5,4.3,4.5,4.7,4.7,4.7,4.5,4.3,4.5,4.3,4.7,4.5,4.5
HIN,Rating (The Meru Sanur) - Guest Room Rating,Scale 1-5,NULL,4.5,4.8,4.6,4.7,4.6,4.7,4.6,4.6,4.8,4.7,4.7,4.7,4.7,4.5,4.7,4.8,4.8,4.7
HIN,Rating (The Meru Sanur) - Cleanliness Rating,Scale 1-5,NULL,4.7,4.9,4.8,4.7,4.7,4.7,4.6,4.7,4.8,4.7,4.7,4.8,4.6,4.7,"4,8",4.8,4.8,4.8
HIN,Rating (The Meru Sanur) - F&B Rating,Scale 1-5,NULL,4.4,4.4,4.4,4.1,4,4.2,4.1,4.2,4.4,4.3,4.5,4.1,4.1,"4,4",4.2,4.3,4.2,4.3
HIN,Rating (The Meru Sanur) - Departure Experience Rating,Scale 1-5,NULL,4.6,4.7,4.7,4.4,4.5,4.4,4.6,4.6,4.6,4.5,4.8,4.5,4.6,4.7,4.7,4.8,4.7,4.7
HIN,Rating (The Meru Sanur) - Staff & Service Rating,Scale 1-5,NULL,4.6,4.8,4.8,4.5,4.7,4.6,4.6,4.7,4.6,4.7,4.8,4.7,4.4,4.7,4.6,4.7,4.7,4.7
HIN,Rating (The Meru Sanur) - Recreation Rating,Scale 1-5,NULL,4.3,4.6,4.5,4.3,4.4,4.3,4.4,4.4,4.6,4.3,4.7,4.3,4.4,4.4,4.2,4.4,4.5,4.6
HIN,Rating (The Meru Sanur) - Maintenance & Upkeep Rating,Scale 1-5,4.6,4.3,4.8,4.6,4.4,4.5,4.5,4.5,4.5,4.7,4.6,4.6,4.2,4.1,4.7,4.5,4.6,4.6,4.6
HIN,Rating (Bali Beach Hotel) - Hotel Rating,Scale 1-5,4.5,4.7,4.7,4.7,4.6,4.6,4.7,4.4,4.5,4.7,4.6,4.7,4.7,4.8,4.7,4.7,"4,8",4.74,4.5
HIN,Rating (Bali Beach Hotel) - Arrival Experience Rating,Scale 1-5,NULL,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.4,4.7,4.7,4.6,4.5,4.5,4.7,"4,5",4.4,4.5,4.4
HIN,Rating (Bali Beach Hotel) - Guest Room Rating,Scale 1-5,NULL,4.6,4.6,4.3,4.6,4.5,4.6,4.3,4.5,4.6,4.6,4.5,4.6,4.4,4.5,4.5,4.6,4.5,4.3
HIN,Rating (Bali Beach Hotel) - Cleanliness Rating,Scale 1-5,NULL,4.7,4.8,4.6,4.7,4.6,4.5,4.4,4.7,4.7,4.8,4.7,4.6,4.5,4.4,4.6,4.6,4.6,4.6
HIN,Rating (Bali Beach Hotel) - F&B Rating,Scale 1-5,NULL,4.5,4.7,4.5,4.3,4.2,4.3,4.2,4.4,4.4,4.6,4.5,4.1,4.1,4.4,4.4,4.3,4.4,4.4
HIN,Rating (Bali Beach Hotel) - Departure Experience Rating,Scale 1-5,NULL,4.7,4.6,4.7,4.7,4.6,4.6,4.5,4.6,4.8,4.7,4.8,4.6,4.5,4.7,4.7,4.7,4.7,4.7
HIN,Rating (Bali Beach Hotel) - Staff & Service Rating,Scale 1-5,NULL,4.7,4.8,4.6,4.7,4.6,4.7,4.6,4.8,4.8,4.8,4.8,4.7,4.7,4.8,4.7,4.8,4.8,4.7
HIN,Rating (Bali Beach Hotel) - Recreation Rating,Scale 1-5,NULL,4.8,4.7,4.3,4.5,4.4,4.3,4.4,4.4,4.5,4.6,4.5,4.5,4.3,4.5,4.6,4.6,4.6,4.7
HIN,Rating (Bali Beach Hotel) - Maintenance & Upkeep Rating,Scale 1-5,4.5,4.6,4.7,4.6,4.6,4.4,4.4,4.3,4.5,4.6,4.5,4.5,4.3,4.4,4.5,4.5,4.5,4.5,4.2
IDM-TWC,CSAT - Overall,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.71,4.71,3.175,3.84,4.18,4.37
IDM-TWC,CSAT - People,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.81,4.77,3.65,4.025,4.25,4.48
IDM-TWC,CSAT - Process,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.73,4.7,3.525,3.55,4.25,4.35
IDM-TWC,CSAT - Premises,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.72,4.65,3.7,3.66,3.9,4.2
IDM-TWC,Call Center Performance - Volume of Call,Numbers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127,95,121,91,101,84
IDM-TWC,Call Center Performance - First Call Resolution,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Call Center Performance - Service Level,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Social Media Monitoring - Volume of Interaction,Numbers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.5K,19.9K,22.2K,20.4K,183.4K,122.1K
IDM-TWC,Social Media Monitoring - Net Sentiment Score,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.57%,12.71%,11.15%,8.09%,8.51%,18.41%
IDM-TWC,Social Media Monitoring - Average Response Time,Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Social Media Monitoring - Response to Sentiment Ratio,"0,00 - 1,00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.12,0.06,0.08,0.11,0.09,0.05
IDM-TWC,Complaint Handling - Total Complaint,Numbers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118,35,58,30,44,43
IDM-TWC,Complaint Handling -  Completed,Numbers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Complaint Handling - Progress,Numbers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Complaint Handling - Untouch,Numbers,x,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Complaint Handling - Complaint Resolution Rate,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TWC,Complaint Handling - Average Time Resolution,Day,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TMII,CSAT - Overall,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.56,4.66,4.64,4.74,4.72,4.78,4.75,4.68,4.7
IDM-TMII,CSAT - People,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.67,4.76,4.73,4.82,4.78,4.8,4.8,4.76,4.8
IDM-TMII,CSAT - Process,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.68,4.74,4.64,4.76,4.67,4.75,4.74,4.65,4.76
IDM-TMII,CSAT - Premises,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.53,4.68,4.63,4.76,4.71,4.76,4.68,4.66,4.7
IDM-TMII,Call Center Performance - Volume of Call,Numbers,NULL,475,595,674,952,275,"1,006","1,235",621,712,708,493,439,428,190,272,220,229,210
IDM-TMII,Call Center Performance - First Call Resolution,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TMII,Call Center Performance - Service Level,Percentage (%),NULL,2%,60%,35%,66%,25%,70%,25%,52%,49%,51%,43%,72%,66%,65%,70%,87%,81%,77%
IDM-TMII,Social Media Monitoring - Volume of Interaction,Numbers,NULL,75.3K,25.1K,64.7K,319.5K,94.3K,31.5K,20.1K,05.2K,18.4K,17.7K,18.2K,75.3K,12.5K,19.9K,22.2K,20.4K,183.4K,122.1K
IDM-TMII,Social Media Monitoring - Net Sentiment Score,Percentage (%),NULL,9.32%,19.95%,8.92%,9.30%,9.02%,0.82%,4.17%,7.21%,18.52%,6.90%,11.34%,4.94%,12.57%,12.71%,11.15%,8.09%,8.51%,18.41%
IDM-TMII,Social Media Monitoring - Average Response Time,Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IDM-TMII,Social Media Monitoring - Response to Sentiment Ratio,"0,00 - 1,00",NULL,0.26,0.06,0.43,0.1,0.11,0.25,0.11,0.46,0.1,0.21,0.24,0.16,0.12,0.06,0.08,0.11,0.09,0.05
